model,task,confidence_level,example_idx,pred_prob,true_label,convergence_delta,top_k_mass,entropy,n_tokens,mean_abs_attr,max_abs_attr
multi_task,Q_overall,borderline,15,0.501043438911438,1.0,-0.0299447923898696,0.30298065355273807,4.518250310647211,152,0.0030201534923684206,0.0290172
multi_task,Q_overall,borderline,16,0.501043438911438,1.0,-0.0299447923898696,0.30298065355273807,4.518250310647211,152,0.0030201534923684206,0.0290172
multi_task,Q_overall,borderline,17,0.501043438911438,0.0,-0.0299447923898696,0.30298065355273807,4.518250310647211,152,0.0030201534923684206,0.0290172
multi_task,Q_overall,borderline,18,0.501043438911438,0.0,-0.0299447923898696,0.30298065355273807,4.518250310647211,152,0.0030201534923684206,0.0290172
multi_task,Q_overall,borderline,19,0.501043438911438,0.0,-0.0299447923898696,0.30298065355273807,4.518250310647211,152,0.0030201534923684206,0.0290172
multi_task,Q_overall,borderline,20,0.501043438911438,0.0,-0.0299447923898696,0.30298065355273807,4.518250310647211,152,0.0030201534923684206,0.0290172
multi_task,Q_overall,borderline,21,0.501043438911438,1.0,-0.0299447923898696,0.30298065355273807,4.518250310647211,152,0.0030201534923684206,0.0290172
multi_task,Q_overall,borderline,22,0.501043438911438,1.0,-0.0299447923898696,0.30298065355273807,4.518250310647211,152,0.0030201534923684206,0.0290172
multi_task,Q_overall,borderline,23,0.501043438911438,1.0,-0.0299447923898696,0.30298065355273807,4.518250310647211,152,0.0030201534923684206,0.0290172
multi_task,Q_overall,borderline,24,0.501043438911438,0.0,-0.0299447923898696,0.30298065355273807,4.518250310647211,152,0.0030201534923684206,0.0290172
multi_task,Q_overall,borderline,25,0.501043438911438,0.0,-0.0299447923898696,0.30298065355273807,4.518250310647211,152,0.0030201534923684206,0.0290172
multi_task,Q_overall,borderline,26,0.501043438911438,1.0,-0.0299447923898696,0.30298065355273807,4.518250310647211,152,0.0030201534923684206,0.0290172
multi_task,Q_overall,borderline,27,0.501043438911438,0.0,-0.0299447923898696,0.30298065355273807,4.518250310647211,152,0.0030201534923684206,0.0290172
multi_task,Q_overall,borderline,28,0.501043438911438,0.0,-0.0299447923898696,0.30298065355273807,4.518250310647211,152,0.0030201534923684206,0.0290172
multi_task,Q_overall,borderline,29,0.501043438911438,1.0,-0.0299447923898696,0.30298065355273807,4.518250310647211,152,0.0030201534923684206,0.0290172
multi_task,Q_overall,high,0,0.9925981760025024,1.0,-0.0159091353416442,0.37841920674805585,4.05440953540231,93,0.005735301877903226,0.026266351
multi_task,Q_overall,high,1,0.9925981760025024,1.0,-0.0159091353416442,0.37841920674805585,4.05440953540231,93,0.005735301877903226,0.026266351
multi_task,Q_overall,high,2,0.9925981760025024,1.0,-0.0159091353416442,0.37841920674805585,4.05440953540231,93,0.005735301877903226,0.026266351
multi_task,Q_overall,high,3,0.9925981760025024,1.0,-0.0159091353416442,0.37841920674805585,4.05440953540231,93,0.005735301877903226,0.026266351
multi_task,Q_overall,high,4,0.9925981760025024,1.0,-0.0159091353416442,0.37841920674805585,4.05440953540231,93,0.005735301877903226,0.026266351
multi_task,Q_overall,high,5,0.9925981760025024,1.0,-0.0159091353416442,0.37841920674805585,4.05440953540231,93,0.005735301877903226,0.026266351
multi_task,Q_overall,high,6,0.9925981760025024,1.0,-0.0159091353416442,0.37841920674805585,4.05440953540231,93,0.005735301877903226,0.026266351
multi_task,Q_overall,high,7,0.9925981760025024,1.0,-0.0159091353416442,0.37841920674805585,4.05440953540231,93,0.005735301877903226,0.026266351
multi_task,Q_overall,high,8,0.9925981760025024,1.0,-0.0159091353416442,0.37841920674805585,4.05440953540231,93,0.005735301877903226,0.026266351
multi_task,Q_overall,high,9,0.9925981760025024,1.0,-0.0159091353416442,0.37841920674805585,4.05440953540231,93,0.005735301877903226,0.026266351
multi_task,Q_overall,high,10,0.9925981760025024,1.0,-0.0159091353416442,0.37841920674805585,4.05440953540231,93,0.005735301877903226,0.026266351
multi_task,Q_overall,high,11,0.9925981760025024,1.0,-0.0159091353416442,0.37841920674805585,4.05440953540231,93,0.005735301877903226,0.026266351
multi_task,Q_overall,high,12,0.9925981760025024,1.0,-0.0159091353416442,0.37841920674805585,4.05440953540231,93,0.005735301877903226,0.026266351
multi_task,Q_overall,high,13,0.9925981760025024,1.0,-0.0159091353416442,0.37841920674805585,4.05440953540231,93,0.005735301877903226,0.026266351
multi_task,Q_overall,high,14,0.9925981760025024,1.0,-0.0159091353416442,0.37841920674805585,4.05440953540231,93,0.005735301877903226,0.026266351
