model,task,confidence_level,example_idx,pred_prob,true_label,convergence_delta,top_k_mass,entropy,n_tokens,mean_abs_attr,max_abs_attr
single_task,Q_overall,borderline,15,0.4958541393280029,1.0,0.0049125403165817,0.1803403799606563,5.1432979455900725,254,0.001963531817405512,0.014065387
single_task,Q_overall,borderline,16,0.4958541393280029,1.0,0.0049125403165817,0.1803403799606563,5.1432979455900725,254,0.001963531817405512,0.014065387
single_task,Q_overall,borderline,17,0.4958541393280029,1.0,0.0049125403165817,0.1803403799606563,5.1432979455900725,254,0.001963531817405512,0.014065387
single_task,Q_overall,borderline,18,0.4958541393280029,1.0,0.0049125403165817,0.1803403799606563,5.1432979455900725,254,0.001963531817405512,0.014065387
single_task,Q_overall,borderline,19,0.4958541393280029,1.0,0.0049125403165817,0.1803403799606563,5.1432979455900725,254,0.001963531817405512,0.014065387
single_task,Q_overall,borderline,20,0.4958541393280029,1.0,0.0049125403165817,0.1803403799606563,5.1432979455900725,254,0.001963531817405512,0.014065387
single_task,Q_overall,borderline,21,0.4958541393280029,0.0,0.0049125403165817,0.1803403799606563,5.1432979455900725,254,0.001963531817405512,0.014065387
single_task,Q_overall,borderline,22,0.4958541393280029,0.0,0.0049125403165817,0.1803403799606563,5.1432979455900725,254,0.001963531817405512,0.014065387
single_task,Q_overall,borderline,23,0.4958541393280029,1.0,0.0049125403165817,0.1803403799606563,5.1432979455900725,254,0.001963531817405512,0.014065387
single_task,Q_overall,borderline,24,0.4958541393280029,1.0,0.0049125403165817,0.1803403799606563,5.1432979455900725,254,0.001963531817405512,0.014065387
single_task,Q_overall,borderline,25,0.4958541393280029,0.0,0.0049125403165817,0.1803403799606563,5.1432979455900725,254,0.001963531817405512,0.014065387
single_task,Q_overall,borderline,26,0.4958541393280029,1.0,0.0049125403165817,0.1803403799606563,5.1432979455900725,254,0.001963531817405512,0.014065387
single_task,Q_overall,borderline,27,0.4958541393280029,1.0,0.0049125403165817,0.1803403799606563,5.1432979455900725,254,0.001963531817405512,0.014065387
single_task,Q_overall,borderline,28,0.4958541393280029,0.0,0.0049125403165817,0.1803403799606563,5.1432979455900725,254,0.001963531817405512,0.014065387
single_task,Q_overall,borderline,29,0.4958541393280029,0.0,0.0049125403165817,0.1803403799606563,5.1432979455900725,254,0.001963531817405512,0.014065387
single_task,Q_overall,high,0,0.9827091693878174,1.0,-0.0573776364326477,0.4812019656551604,3.658535077911515,60,0.010024046196,0.044927128
single_task,Q_overall,high,1,0.9827091693878174,1.0,-0.0573776364326477,0.4812019656551604,3.658535077911515,60,0.010024046196,0.044927128
single_task,Q_overall,high,2,0.9827091693878174,1.0,-0.0573776364326477,0.4812019656551604,3.658535077911515,60,0.010024046196,0.044927128
single_task,Q_overall,high,3,0.9827091693878174,1.0,-0.0573776364326477,0.4812019656551604,3.658535077911515,60,0.010024046196,0.044927128
single_task,Q_overall,high,4,0.9827091693878174,1.0,-0.0573776364326477,0.4812019656551604,3.658535077911515,60,0.010024046196,0.044927128
single_task,Q_overall,high,5,0.9827091693878174,1.0,-0.0573776364326477,0.4812019656551604,3.658535077911515,60,0.010024046196,0.044927128
single_task,Q_overall,high,6,0.9827091693878174,1.0,-0.0573776364326477,0.4812019656551604,3.658535077911515,60,0.010024046196,0.044927128
single_task,Q_overall,high,7,0.9827091693878174,1.0,-0.0573776364326477,0.4812019656551604,3.658535077911515,60,0.010024046196,0.044927128
single_task,Q_overall,high,8,0.9827091693878174,1.0,-0.0573776364326477,0.4812019656551604,3.658535077911515,60,0.010024046196,0.044927128
single_task,Q_overall,high,9,0.9827091693878174,1.0,-0.0573776364326477,0.4812019656551604,3.658535077911515,60,0.010024046196,0.044927128
single_task,Q_overall,high,10,0.9827091693878174,1.0,-0.0573776364326477,0.4812019656551604,3.658535077911515,60,0.010024046196,0.044927128
single_task,Q_overall,high,11,0.9827091693878174,1.0,-0.0573776364326477,0.4812019656551604,3.658535077911515,60,0.010024046196,0.044927128
single_task,Q_overall,high,12,0.9827091693878174,1.0,-0.0573776364326477,0.4812019656551604,3.658535077911515,60,0.010024046196,0.044927128
single_task,Q_overall,high,13,0.9827091693878174,1.0,-0.0573776364326477,0.4812019656551604,3.658535077911515,60,0.010024046196,0.044927128
single_task,Q_overall,high,14,0.9827091693878174,1.0,-0.0573776364326477,0.4812019656551604,3.658535077911515,60,0.010024046196,0.044927128
